,Link
84,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=GP&state=
85,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=GN&state=
86,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=GY&state=
87,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=HT&state=
88,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=HU&state=
89,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=IS&state=
90,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=IE&state=
91,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=IR&state=
92,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=IL&state=
93,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=IT&state=
94,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=JM&state=
95,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=JP&state=
96,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=LV&state=
97,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=LB&state=
98,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=LT&state=
99,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=LU&state=
100,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=ML&state=
101,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=MQ&state=
102,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=MX&state=
103,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=ME&state=
104,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=MA&state=
105,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=NL&state=
106,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=NZ&state=
107,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=NG&state=
108,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=NO&state=
109,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=PA&state=
110,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=PL&state=
111,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=PT&state=
112,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=PR&state=
113,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=KR&state=
114,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=MK&state=
115,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=CG&state=
116,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=RO&state=
117,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=RU&state=
118,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=LC&state=
119,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=VC&state=
120,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=SN&state=
121,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=RS&state=
122,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=SK&state=
123,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=SI&state=
124,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=ZA&state=
125,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=SS&state=
126,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=ES&state=
127,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=SD&state=
128,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=SE&state=
129,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=CH&state=
130,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=TW&state=
131,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=TT&state=
132,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=TN&state=
133,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=TR&state=
134,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=VI&state=
135,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=UA&state=
136,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=GB&state=
137,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=TZ&state=
138,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=UY&state=
139,https://www.basketball-reference.com/friv/birthplaces.fcgi?country=VE&state=
