name,bbref_link,bbref_id,career_ppg,birth_location,birth_country,birth_state,birth_city,start_year,end_year,high_school_state,high_school_city,high_school_name,all_star_appearances,Location,Latitude,Longitude
Andreas Glyniadakis,/players/g/glynian01.html,glynian01,1.3,Greece,GR,,Hania,2007,2007,,,,0
Georgios Papagiannis,/players/p/papagge01.html,papagge01,4.1,Greece,GR,,Amarousio,2017,2018,Pennsylvania,West Chester,Westtown,0
Kostas Papanikolaou,/players/p/papanko01.html,papanko01,3.6,Greece,GR,,Trikala,2015,2016,,,,0
Efthimi Rentzias,/players/r/rentzef01.html,rentzef01,1.5,Greece,GR,,Trikala,2003,2003,,,,0
Vassilis Spanoulis,/players/s/spanova01.html,spanova01,2.7,Greece,GR,,Larissa,2007,2007,,,,0
Rodrigue Beaubois,/players/b/beaubro01.html,beaubro01,7.1,Guadeloupe,GP,,Pointe-a-Pitre,2010,2013,,,,0
Mickaël Gelabale,/players/g/gelabmi01.html,gelabmi01,4.6,Guadeloupe,GP,,Pointe Noire,2007,2013,,,,0
Mickaël Piétrus,/players/p/pietrmi01.html,pietrmi01,8.3,Guadeloupe,GP,,Les Abymes,2004,2013,,,,0
Sekou Doumbouya,/players/d/doumbse01.html,doumbse01,6.4,Guinea,GN,,Conakry,2020,2020,,,,0
Rawle Marshall,/players/m/marshra01.html,marshra01,2.7,Guyana,GY,,Georgetown,2006,2007,Michigan,Detroit,Mackenzie,0
Jason Miskiri,/players/m/miskija01.html,miskija01,0.0,Guyana,GY,,Georgetown,2000,2000,Maryland,Silver Spring,Montgomery Blair,0
Samuel Dalembert,/players/d/dalemsa01.html,dalemsa01,7.7,Haiti,HT,,Port-Au-Prince,2002,2015,New Jersey,Elizabeth,Saint Patrick,0
Yvon Joseph,/players/j/josepyv01.html,josepyv01,2.0,Haiti,HT,,Cap-Haitian,1986,1986,,,,0
Skal Labissière,/players/l/labissk01.html,labissk01,7.2,Haiti,HT,,Port-au-Prince,2017,2020,Tennessee,Memphis,Lausanne Collegiate School,0
Olden Polynice,/players/p/polynol01.html,polynol01,7.8,Haiti,HT,,Port-au-Prince,1988,2004,New York,Bronx,All Hallows,0
Kornél Dávid,/players/d/davidko01.html,davidko01,5.0,Hungary,HU,,N/A,1999,2001,,,,0
Pétur Guðmundsson,/players/g/gudmupe01.html,gudmupe01,4.6,Iceland,IS,,Reykjavik,1982,1989,Washington,Mercer Island,Mercer Island,0
Pat Burke,/players/b/burkepa01.html,burkepa01,3.7,Ireland,IE,,Dublin,2003,2007,Florida,Cape Coral,Mariner,0
Hamed Haddadi,/players/h/haddaha01.html,haddaha01,2.2,Islamic Republic of Iran,IR,,Ahvaz,2009,2013,,,,0
Omri Casspi,/players/c/casspom01.html,casspom01,7.9,Israel,IL,,Holon,2010,2019,,,,0
T.J. Leaf,/players/l/leaftj01.html,leaftj01,3.3,Israel,IL,,Tel Aviv,2018,2020,California,El Cajon,Foothills Christian,0
Gal Mekel,/players/m/mekelga01.html,mekelga01,2.3,Israel,IL,,Petah Tikva,2014,2015,,,,0
Andrea Bargnani,/players/b/bargnan01.html,bargnan01,14.3,Italy,IT,,Rome,2007,2016,,,,0
Marco Belinelli,/players/b/belinma01.html,belinma01,9.7,Italy,IT,,San Giovanni in Persiceto,2008,2020,,,,0
Hank Biasatti,/players/b/biasaha01.html,biasaha01,1.0,Italy,IT,,Beano,1947,1947,,,,0
Luigi Datome,/players/d/datomlu01.html,datomlu01,3.4,Italy,IT,,Montebelluna,2014,2015,,,,0
