Antonio Davis,13,1994,2006,903,26084,3187,7120,2,23,2665,3668,2323,6755,1017,430,889,1346,2551,9041,.448,.087,.727,28.9,10.0,7.5,1.1,0.5,1.0,"Oct 31, 1968",Oakland
Baron Davis,13,2000,2012,835,28592,4888,11951,1332,4159,2339,3292,762,3183,6025,1530,360,2308,2361,13447,.409,.320,.711,34.2,16.1,3.8,7.2,1.8,0.4,"Apr 13, 1979",Los Angeles
Tyler Davis,1,2019,2019,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,.000,,,1.0,0.0,1.0,0.0,0.0,0.0,"May 22, 1997",San Jose
Austin Daye,6,2010,2015,293,4132,567,1410,188,535,200,257,143,764,212,116,117,204,480,1522,.402,.351,.778,14.1,5.2,2.6,0.7,0.4,0.4,"Jun 5, 1988",Irvine
Greg Deane,1,1980,1980,7,48,2,11,1,1,5,7,2,6,6,0,0,3,3,10,.182,1.000,.714,6.9,1.4,0.9,0.9,0.0,0.0,"Dec 6, 1957",Tulare
Dewayne Dedmon,10,2014,2023,515,8896,1287,2445,187,557,494,676,784,2970,358,258,409,497,1290,3255,.526,.336,.731,17.3,6.3,5.8,0.7,0.5,0.8,"Aug 12, 1989",Lancaster
Bryce Dejean-Jones,1,2016,2016,14,279,28,69,12,32,11,21,8,48,15,10,2,11,17,79,.406,.375,.524,19.9,5.6,3.4,1.1,0.7,0.1,"Aug 21, 1992",Los Angeles
Bison Dele,8,1992,1999,413,10004,1847,3499,2,14,840,1215,853,2564,440,320,355,822,1297,4536,.528,.143,.691,24.2,11.0,6.2,1.1,0.8,0.9,"Apr 6, 1969",Fresno
Dell Demps,3,1994,1997,20,108,21,42,1,3,16,21,2,9,9,6,1,13,12,59,.500,.333,.762,5.4,3.0,0.5,0.5,0.3,0.1,"Feb 12, 1970",Long Beach
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeMar DeRozan,15,2010,2024,1110,38460,8440,18007,531,1791,6171,7337,785,4910,4527,1108,361,2274,2509,23582,.469,.296,.841,34.6,21.2,4.4,4.1,1.0,0.3,"Aug 7, 1989",Compton
Coby Dietrick,13,1971,1983,842,16287,2150,4655,6,31,834,1134,1192,3772,1740,666,520,992,2336,5140,.462,,.735,19.3,6.1,4.5,2.1,0.9,0.6,"Jul 23, 1948",Riverside
Harry Dinnel,1,1968,1968,11,87,6,19,0,0,7,8,,23,5,,,8,14,19,.316,,.875,7.9,1.7,2.1,0.5,,,"Oct 9, 1940",Venice
Spencer Dinwiddie,10,2015,2024,542,15083,2341,5653,858,2574,1666,2094,236,1642,2804,378,150,905,1224,7206,.414,.333,.796,27.8,13.3,3.0,5.2,0.7,0.3,"Apr 6, 1993",Los Angeles
Tyler Dorsey,3,2018,2023,107,1680,255,651,117,333,83,124,45,245,135,31,7,64,116,710,.392,.351,.669,15.7,6.6,2.3,1.3,0.3,0.1,"Feb 18, 1996",Pasadena
Larry Drew II,2,2015,2018,22,289,27,82,7,35,2,3,4,18,55,6,0,28,19,63,.329,.200,.667,13.1,2.9,0.8,2.5,0.3,0.0,"Mar 5, 1990",Los Angeles
Ralph Drollinger,1,1981,1981,6,67,7,14,0,0,1,4,5,19,14,1,2,13,16,15,.500,,.250,11.2,2.5,3.2,2.3,0.2,0.3,"Apr 20, 1954",La Mesa
Jared Dudley,14,2008,2021,904,20117,2408,5197,883,2247,934,1276,805,2849,1394,710,167,763,1636,6633,.463,.393,.732,22.3,7.3,3.2,1.5,0.8,0.2,"Jul 10, 1985",San Diego
Craig Dykema,1,1982,1982,32,103,17,37,2,4,7,9,3,12,15,2,0,7,19,43,.459,.500,.778,3.2,1.3,0.4,0.5,0.1,0.0,"Jun 11, 1959",Lakewood
Jim Eakins,10,1969,1978,767,19023,2900,5753,0,3,2455,3114,1914,5578,1345,192,450,1362,2295,8255,.504,,.788,24.8,10.8,7.3,1.8,0.5,1.0,"May 24, 1946",Sacramento
Mark Eaton,11,1983,1993,875,25169,2072,4526,0,2,1072,1653,1857,6939,840,368,3064,1293,2955,5216,.458,.000,.649,28.8,6.0,7.9,1.0,0.4,3.5,"Jan 24, 1957",Westminster
Tyus Edney,4,1996,2001,226,4743,583,1438,65,202,497,617,122,393,910,217,6,395,387,1728,.405,.322,.806,21.0,7.6,1.7,4.0,1.0,0.0,"Feb 14, 1973",Gardena
Kessler Edwards,3,2022,2024,138,1647,180,442,85,243,32,43,76,275,69,53,34,59,151,477,.407,.350,.744,11.9,3.5,2.0,0.5,0.4,0.2,"Aug 9, 2000",Glendale
Shane Edwards,1,2014,2014,2,12,1,3,0,0,0,0,1,2,0,0,0,1,1,2,.333,,,6.0,1.0,1.0,0.0,0.0,0.0,"May 31, 1987",Los Angeles
LeRon Ellis,3,1992,1996,91,857,110,254,0,0,57,93,87,220,29,25,37,35,105,277,.433,,.613,9.4,3.0,2.4,0.3,0.3,0.4,"Apr 28, 1969",Los Angeles
Wayne Engelstad,1,1989,1989,11,50,11,29,0,0,6,10,5,16,7,1,0,3,12,28,.379,,.600,4.5,2.5,1.5,0.6,0.1,0.0,"Dec 6, 1965",Rosemead
James Ennis III,8,2015,2022,395,8022,907,1985,317,880,498,625,393,1306,373,244,113,303,792,2629,.457,.360,.797,20.3,6.7,3.3,0.9,0.6,0.3,"Jul 1, 1990",Ventura
Keith Erickson,12,1966,1977,766,18841,3014,6926,,,1223,1591,306,3449,1991,222,45,,2081,7251,.435,,.769,24.6,9.5,4.5,2.6,0.9,0.2,"Apr 19, 1944",San Francisco
John Fairchild,4,1966,1970,165,2277,414,1026,14,38,243,357,55,523,115,,,185,304,1085,.404,,.681,13.8,6.6,3.2,0.7,,,"Apr 28, 1943",Encinitas
Jordan Farmar,10,2007,2017,504,9840,1460,3452,583,1559,385,521,161,958,1453,391,56,695,713,3888,.423,.374,.739,19.5,7.7,1.9,2.9,0.8,0.1,"Nov 30, 1986",Los Angeles
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Farmer,2,1998,2000,101,1368,144,365,10,53,234,304,134,327,79,76,20,91,190,532,.395,.189,.770,13.5,5.3,3.2,0.8,0.8,0.2,"Jan 3, 1970",Los Angeles
Bob Feerick,4,1947,1950,221,,1077,2977,,,782,972,,,440,,,,592,2936,.362,,.805,,13.3,,2.0,,,"Jan 2, 1920",San Francisco
Noel Felix,1,2006,2006,12,82,6,25,1,3,5,8,3,13,2,2,3,8,13,18,.240,.333,.625,6.8,1.5,1.1,0.2,0.2,0.3,"Oct 4, 1981",Los Angeles
Eric Fernsten,6,1976,1984,218,1643,193,434,0,0,131,194,144,372,82,52,51,72,174,517,.445,,.675,7.5,2.4,1.7,0.4,0.2,0.2,"Nov 1, 1953",Oakland
Landry Fields,5,2011,2015,255,6010,684,1446,120,361,243,365,248,1092,419,212,45,270,310,1731,.473,.332,.666,23.6,6.8,4.3,1.6,0.8,0.2,"Jun 27, 1988",Long Beach
Malik Fitts,2,2021,2022,18,74,9,22,6,12,0,0,2,20,5,0,0,2,7,24,.409,.500,,4.1,1.3,1.1,0.3,0.0,0.0,"Jul 4, 1997",Lynwood
Isaac Fontaine,1,2002,2002,6,75,3,14,1,5,4,6,0,5,4,0,0,4,6,11,.214,.200,.667,12.5,1.8,0.8,0.7,0.0,0.0,"Apr 16, 1975",Sacramento
Don Ford,7,1976,1982,474,9301,1313,2828,1,7,389,503,544,1691,647,274,139,296,1004,3016,.464,,.773,19.6,6.4,3.6,1.4,0.6,0.3,"Dec 31, 1952",Santa Barbara
Jordan Ford,1,2024,2024,6,22,4,7,2,3,2,2,0,2,2,0,0,1,0,12,.571,.667,1.000,3.7,2.0,0.3,0.3,0.0,0.0,"May 26, 1998",Citrus Heights
Bayard Forrest,2,1978,1979,139,2130,229,510,,,111,218,194,565,296,52,71,191,256,569,.449,,.509,15.3,4.1,4.1,2.1,0.4,0.5,"Jul 8, 1954",San Jose
Greg Foster,13,1991,2003,656,7974,1047,2382,20,89,424,567,509,1691,351,94,194,465,1221,2538,.440,.225,.748,12.2,3.9,2.6,0.5,0.1,0.3,"Oct 3, 1968",Oakland
Tremaine Fowlkes,4,2002,2005,103,1233,105,257,4,20,87,110,94,228,54,47,6,50,146,301,.409,.200,.791,12.0,2.9,2.2,0.5,0.5,0.1,"Apr 11, 1976",Los Angeles
